tree_id,bunch_id,bunch_class,n_sides_total,n_sides_bunch,max_dist_allowed,max_normal,max_possible,valid_home,appearance_sides,offending_sides,reason,link_chain,severity
DAMIMAS_A21B_0348,5,B1,4,3,1,2,3,sisi_4,"sisi_1,sisi_3,sisi_4",,valid_but_n_sides_3_exceeds_normal_2,"lnk-5,lnk-6",warn
DAMIMAS_A21B_0350,1,B1,4,3,1,2,3,sisi_1,"sisi_1,sisi_2,sisi_4",,valid_but_n_sides_3_exceeds_normal_2,"lnk-0,lnk-1",warn
DAMIMAS_A21B_0352,2,B3,4,3,1,2,3,sisi_2,"sisi_1,sisi_2,sisi_3",,valid_but_n_sides_3_exceeds_normal_2,"lnk-3,lnk-4",warn
DAMIMAS_A21B_0352,3,B4,4,3,1,2,3,sisi_2,"sisi_1,sisi_2,sisi_3",,valid_but_n_sides_3_exceeds_normal_2,"lnk-8,lnk-9",warn
DAMIMAS_A21B_0352,4,B3,4,3,1,2,3,sisi_2,"sisi_1,sisi_2,sisi_3",,valid_but_n_sides_3_exceeds_normal_2,"lnk-5,lnk-6",warn
DAMIMAS_A21B_0353,5,B3,4,3,1,2,3,sisi_4,"sisi_1,sisi_3,sisi_4",,valid_but_n_sides_3_exceeds_normal_2,"lnk-7,lnk-8",warn
DAMIMAS_A21B_0353,6,B1,4,3,1,2,3,sisi_3,"sisi_2,sisi_3,sisi_4",,valid_but_n_sides_3_exceeds_normal_2,"lnk-1,lnk-2",warn
DAMIMAS_A21B_0353,9,B3,4,3,1,2,3,sisi_3,"sisi_2,sisi_3,sisi_4",,valid_but_n_sides_3_exceeds_normal_2,"lnk-4,lnk-5",warn
DAMIMAS_A21B_0354,2,B3,4,3,1,2,3,sisi_2,"sisi_1,sisi_2,sisi_3",,valid_but_n_sides_3_exceeds_normal_2,"lnk-0,lnk-1",warn
DAMIMAS_A21B_0354,3,B3,4,3,1,2,3,sisi_2,"sisi_1,sisi_2,sisi_3",,valid_but_n_sides_3_exceeds_normal_2,"lnk-4,lnk-5",warn
