T_y,T_s,lam_s,lam_adj,iou_intra,T_cost,adjacent_only,T_y_opp,mutual_best,per_class_T_y,n,pct_exact,pct_within_1,pct_within_2,mae_total,mae_B1,mae_B2,mae_B3,mae_B4
0.15,3.0,0.1,0.03,0.5,0.28986222886681096,False,0.03,True,{},197,0.06091370558375635,0.19289340101522842,0.38071065989847713,3.1776649746192893,0.41624365482233505,0.6192893401015228,1.8375634517766497,0.5076142131979695
0.15,3.0,0.1,0.03,0.5,0.28986222886681096,False,0.03,True,{'B3': 0.03},197,0.04060913705583756,0.18781725888324874,0.39593908629441626,3.1472081218274113,0.41624365482233505,0.6192893401015228,1.8071065989847717,0.5076142131979695
0.15,3.0,0.1,0.03,0.5,0.28986222886681096,False,0.03,True,{'B3': 0.05},197,0.05583756345177665,0.20812182741116753,0.37055837563451777,3.1573604060913705,0.41624365482233505,0.6192893401015228,1.8071065989847717,0.5076142131979695
0.15,3.0,0.1,0.03,0.5,0.28986222886681096,False,0.03,True,{'B3': 0.07},197,0.06091370558375635,0.19289340101522842,0.36548223350253806,3.203045685279188,0.41624365482233505,0.6192893401015228,1.8629441624365481,0.5076142131979695
0.15,3.0,0.1,0.08,0.5,0.33986222886681094,False,,False,{},197,0.050761421319796954,0.19289340101522842,0.3756345177664975,3.218274111675127,0.30456852791878175,0.6751269035532995,1.8781725888324874,0.5939086294416244
0.15,3.0,0.1,0.08,0.5,0.33986222886681094,False,,False,{'B3': 0.03},197,0.14720812182741116,0.4416243654822335,0.6903553299492385,2.0253807106598987,0.30456852791878175,0.6751269035532995,1.0203045685279188,0.5939086294416244
0.15,3.0,0.1,0.08,0.5,0.33986222886681094,False,,False,{'B3': 0.05},197,0.13705583756345177,0.36548223350253806,0.5888324873096447,2.3197969543147208,0.30456852791878175,0.6751269035532995,1.0812182741116751,0.5939086294416244
0.15,3.0,0.1,0.08,0.5,0.33986222886681094,False,,False,{'B3': 0.07},197,0.06598984771573604,0.27918781725888325,0.467005076142132,2.7766497461928936,0.30456852791878175,0.6751269035532995,1.467005076142132,0.5939086294416244
0.15,3.0,0.1,0.08,0.5,0.33986222886681094,False,0.03,False,{},197,0.06091370558375635,0.233502538071066,0.41116751269035534,3.065989847715736,0.29949238578680204,0.6598984771573604,1.7969543147208122,0.5634517766497462
0.15,3.0,0.1,0.08,0.5,0.33986222886681094,False,0.03,False,{'B3': 0.03},197,0.15228426395939088,0.4467005076142132,0.700507614213198,1.984771573604061,0.29949238578680204,0.6598984771573604,1.0203045685279188,0.5634517766497462
