tree_id,n_sides,n_total,class,naive,gt,ratio,class_frac
DAMIMAS_A21B_0124,4,20,B4,4,2,2.0,0.2
DAMIMAS_A21B_0125,4,20,B1,2,1,2.0,0.1
DAMIMAS_A21B_0125,4,20,B2,5,2,2.5,0.25
DAMIMAS_A21B_0125,4,20,B3,11,5,2.2,0.55
DAMIMAS_A21B_0125,4,20,B4,2,1,2.0,0.1
DAMIMAS_A21B_0126,4,22,B1,5,2,2.5,0.22727272727272727
DAMIMAS_A21B_0126,4,22,B3,9,4,2.25,0.4090909090909091
DAMIMAS_A21B_0126,4,22,B4,8,4,2.0,0.36363636363636365
DAMIMAS_A21B_0127,4,23,B2,3,2,1.5,0.13043478260869565
DAMIMAS_A21B_0127,4,23,B3,11,5,2.2,0.4782608695652174
DAMIMAS_A21B_0127,4,23,B4,9,5,1.8,0.391304347826087
DAMIMAS_A21B_0128,4,17,B2,2,1,2.0,0.11764705882352941
DAMIMAS_A21B_0128,4,17,B3,10,4,2.5,0.5882352941176471
DAMIMAS_A21B_0128,4,17,B4,5,3,1.6666666666666667,0.29411764705882354
DAMIMAS_A21B_0129,4,10,B3,8,4,2.0,0.8
DAMIMAS_A21B_0129,4,10,B4,2,1,2.0,0.2
DAMIMAS_A21B_0130,4,16,B1,2,1,2.0,0.125
DAMIMAS_A21B_0130,4,16,B2,2,1,2.0,0.125
DAMIMAS_A21B_0130,4,16,B3,4,2,2.0,0.25
DAMIMAS_A21B_0130,4,16,B4,8,5,1.6,0.5
DAMIMAS_A21B_0131,4,18,B2,2,1,2.0,0.1111111111111111
DAMIMAS_A21B_0131,4,18,B3,12,6,2.0,0.6666666666666666
DAMIMAS_A21B_0131,4,18,B4,4,2,2.0,0.2222222222222222
DAMIMAS_A21B_0132,4,17,B1,3,1,3.0,0.17647058823529413
DAMIMAS_A21B_0132,4,17,B2,2,1,2.0,0.11764705882352941
DAMIMAS_A21B_0132,4,17,B3,2,1,2.0,0.11764705882352941
DAMIMAS_A21B_0132,4,17,B4,10,6,1.6666666666666667,0.5882352941176471
DAMIMAS_A21B_0133,4,21,B3,17,7,2.4285714285714284,0.8095238095238095
DAMIMAS_A21B_0133,4,21,B4,4,2,2.0,0.19047619047619047
DAMIMAS_A21B_0134,4,15,B2,5,2,2.5,0.3333333333333333
DAMIMAS_A21B_0134,4,15,B3,10,4,2.5,0.6666666666666666
DAMIMAS_A21B_0135,4,22,B2,12,5,2.4,0.5454545454545454
DAMIMAS_A21B_0135,4,22,B3,6,3,2.0,0.2727272727272727
DAMIMAS_A21B_0135,4,22,B4,4,2,2.0,0.18181818181818182
DAMIMAS_A21B_0136,4,22,B3,15,7,2.142857142857143,0.6818181818181818
DAMIMAS_A21B_0136,4,22,B4,7,3,2.3333333333333335,0.3181818181818182
DAMIMAS_A21B_0137,4,20,B2,3,2,1.5,0.15
DAMIMAS_A21B_0137,4,20,B3,17,8,2.125,0.85
DAMIMAS_A21B_0138,4,15,B2,3,1,3.0,0.2
DAMIMAS_A21B_0138,4,15,B3,8,3,2.6666666666666665,0.5333333333333333
DAMIMAS_A21B_0138,4,15,B4,4,2,2.0,0.26666666666666666
DAMIMAS_A21B_0139,4,20,B2,4,2,2.0,0.2
DAMIMAS_A21B_0139,4,20,B3,13,5,2.6,0.65
DAMIMAS_A21B_0139,4,20,B4,3,1,3.0,0.15
DAMIMAS_A21B_0140,4,27,B1,2,1,2.0,0.07407407407407407
DAMIMAS_A21B_0140,4,27,B2,6,3,2.0,0.2222222222222222
DAMIMAS_A21B_0140,4,27,B3,8,4,2.0,0.2962962962962963
DAMIMAS_A21B_0140,4,27,B4,11,5,2.2,0.4074074074074074
DAMIMAS_A21B_0141,4,22,B3,17,7,2.4285714285714284,0.7727272727272727
DAMIMAS_A21B_0141,4,22,B4,5,2,2.5,0.22727272727272727
DAMIMAS_A21B_0142,4,9,B2,1,1,1.0,0.1111111111111111
DAMIMAS_A21B_0142,4,9,B3,6,3,2.0,0.6666666666666666
DAMIMAS_A21B_0142,4,9,B4,2,1,2.0,0.2222222222222222
DAMIMAS_A21B_0143,4,19,B3,17,7,2.4285714285714284,0.8947368421052632
DAMIMAS_A21B_0143,4,19,B4,2,1,2.0,0.10526315789473684
DAMIMAS_A21B_0231,4,16,B3,10,5,2.0,0.625
DAMIMAS_A21B_0231,4,16,B4,6,3,2.0,0.375
DAMIMAS_A21B_0240,4,14,B2,10,5,2.0,0.7142857142857143
DAMIMAS_A21B_0240,4,14,B3,3,2,1.5,0.21428571428571427
DAMIMAS_A21B_0240,4,14,B4,1,1,1.0,0.07142857142857142
DAMIMAS_A21B_0242,4,15,B2,4,2,2.0,0.26666666666666666
DAMIMAS_A21B_0242,4,15,B3,9,5,1.8,0.6
DAMIMAS_A21B_0242,4,15,B4,2,1,2.0,0.13333333333333333
DAMIMAS_A21B_0244,4,15,B4,15,7,2.142857142857143,1.0
DAMIMAS_A21B_0245,4,10,B3,4,3,1.3333333333333333,0.4
DAMIMAS_A21B_0245,4,10,B4,6,2,3.0,0.6
DAMIMAS_A21B_0248,4,18,B2,3,2,1.5,0.16666666666666666
DAMIMAS_A21B_0248,4,18,B3,10,5,2.0,0.5555555555555556
DAMIMAS_A21B_0248,4,18,B4,5,4,1.25,0.2777777777777778
DAMIMAS_A21B_0249,4,18,B2,1,1,1.0,0.05555555555555555
DAMIMAS_A21B_0249,4,18,B3,17,9,1.8888888888888888,0.9444444444444444
DAMIMAS_A21B_0251,4,22,B1,2,1,2.0,0.09090909090909091
DAMIMAS_A21B_0251,4,22,B2,6,4,1.5,0.2727272727272727
DAMIMAS_A21B_0251,4,22,B3,10,6,1.6666666666666667,0.45454545454545453
DAMIMAS_A21B_0251,4,22,B4,4,2,2.0,0.18181818181818182
DAMIMAS_A21B_0252,4,15,B2,2,2,1.0,0.13333333333333333
DAMIMAS_A21B_0252,4,15,B3,11,6,1.8333333333333333,0.7333333333333333
DAMIMAS_A21B_0252,4,15,B4,2,2,1.0,0.13333333333333333
DAMIMAS_A21B_0253,4,11,B2,4,2,2.0,0.36363636363636365
DAMIMAS_A21B_0253,4,11,B3,7,4,1.75,0.6363636363636364
DAMIMAS_A21B_0255,4,17,B1,1,1,1.0,0.058823529411764705
DAMIMAS_A21B_0255,4,17,B2,3,2,1.5,0.17647058823529413
DAMIMAS_A21B_0255,4,17,B3,11,6,1.8333333333333333,0.6470588235294118
DAMIMAS_A21B_0255,4,17,B4,2,1,2.0,0.11764705882352941
DAMIMAS_A21B_0256,3,3,B3,3,2,1.5,1.0
DAMIMAS_A21B_0257,4,18,B1,2,1,2.0,0.1111111111111111
DAMIMAS_A21B_0257,4,18,B2,6,4,1.5,0.3333333333333333
