method,params,mean_MAE,acc_within_1_error,mean_total_error,score,n_trees
stack_5,"{'corrected': 0.0, 'graph': 0.66, 'adaptive_ridge': 0.66, 'visibility': 0.0, 'rich_cluster': 0.0}",0.9627,42.54,3.85,32.92,228
stack_5,"{'corrected': 0.0, 'graph': 0.0, 'adaptive_ridge': 0.33, 'visibility': 1.0, 'rich_cluster': 0.0}",0.8268,40.79,3.31,32.52,228
stack_5,"{'corrected': 0.0, 'graph': 0.66, 'adaptive_ridge': 0.0, 'visibility': 0.66, 'rich_cluster': 0.0}",0.9331,41.23,3.73,31.9,228
stack_5,"{'corrected': 0.33, 'graph': 0.66, 'adaptive_ridge': 0.0, 'visibility': 0.33, 'rich_cluster': 0.0}",0.9539,41.23,3.82,31.69,228
stack_5,"{'corrected': 0.33, 'graph': 0.0, 'adaptive_ridge': 0.0, 'visibility': 1.0, 'rich_cluster': 0.0}",0.8333,39.47,3.33,31.14,228
stack_5,"{'corrected': 0.66, 'graph': 0.66, 'adaptive_ridge': 0.0, 'visibility': 0.0, 'rich_cluster': 0.0}",0.9616,40.35,3.85,30.73,228
stack_3,"{'corrected': 0.2, 'graph': 0.6, 'adaptive_ridge': 0.0}",0.8377,39.04,3.35,30.66,228
stack_3,"{'corrected': 0.0, 'graph': 0.6, 'adaptive_ridge': 0.2}",0.8377,39.04,3.35,30.66,228
visibility,"{'alpha': 2.0, 'sigma': 0.25}",0.8333,38.16,3.33,29.82,228
stack_5,"{'corrected': 0.0, 'graph': 0.0, 'adaptive_ridge': 0.66, 'visibility': 0.66, 'rich_cluster': 0.0}",0.852,38.16,3.41,29.64,228
stack_5,"{'corrected': 0.33, 'graph': 0.0, 'adaptive_ridge': 0.33, 'visibility': 0.66, 'rich_cluster': 0.0}",0.8553,38.16,3.42,29.61,228
stack_3,"{'corrected': 0.2, 'graph': 0.6, 'adaptive_ridge': 0.6}",1.0384,39.91,4.15,29.53,228
stack_5,"{'corrected': 1.0, 'graph': 0.33, 'adaptive_ridge': 0.0, 'visibility': 0.0, 'rich_cluster': 0.0}",0.9221,38.6,3.69,29.37,228
stack_3,"{'corrected': 0.4, 'graph': 0.6, 'adaptive_ridge': 0.4}",1.0329,39.47,4.13,29.14,228
stack_3,"{'corrected': 0.0, 'graph': 0.6, 'adaptive_ridge': 0.8}",1.0428,39.47,4.17,29.05,228
visibility,"{'alpha': 4.0, 'sigma': 0.12}",0.8103,35.96,3.24,27.86,228
stack_3,"{'corrected': 0.6, 'graph': 0.6, 'adaptive_ridge': 0.2}",1.0461,37.28,4.18,26.82,228
stack_5,"{'corrected': 0.33, 'graph': 0.0, 'adaptive_ridge': 0.66, 'visibility': 0.33, 'rich_cluster': 0.0}",0.875,35.53,3.5,26.78,228
stack_3,"{'corrected': 0.2, 'graph': 0.8, 'adaptive_ridge': 0.2}",0.8728,35.09,3.49,26.36,228
stack_5,"{'corrected': 0.66, 'graph': 0.0, 'adaptive_ridge': 0.0, 'visibility': 0.66, 'rich_cluster': 0.0}",0.8772,35.09,3.51,26.32,228
stack_5,"{'corrected': 0.0, 'graph': 0.0, 'adaptive_ridge': 1.0, 'visibility': 0.33, 'rich_cluster': 0.0}",0.886,35.09,3.54,26.23,228
stack_5,"{'corrected': 0.0, 'graph': 0.33, 'adaptive_ridge': 0.0, 'visibility': 0.0, 'rich_cluster': 0.66}",0.9825,35.96,3.93,26.14,228
stack_3,"{'corrected': 0.8, 'graph': 0.6, 'adaptive_ridge': 0.0}",1.0417,36.4,4.17,25.99,228
stack_3,"{'corrected': 0.4, 'graph': 0.8, 'adaptive_ridge': 0.0}",0.8684,34.65,3.47,25.96,228
stack_5,"{'corrected': 0.66, 'graph': 0.0, 'adaptive_ridge': 0.0, 'visibility': 0.0, 'rich_cluster': 0.0}",0.8706,34.65,3.48,25.94,228
stack_5,"{'corrected': 0.33, 'graph': 0.0, 'adaptive_ridge': 0.33, 'visibility': 0.0, 'rich_cluster': 0.0}",0.8728,34.65,3.49,25.92,228
stack_3,"{'corrected': 0.0, 'graph': 0.8, 'adaptive_ridge': 0.4}",0.8794,34.65,3.52,25.86,228
stack_5,"{'corrected': 0.33, 'graph': 0.0, 'adaptive_ridge': 1.0, 'visibility': 0.0, 'rich_cluster': 0.0}",0.8947,34.21,3.58,25.26,228
visibility,"{'alpha': 3.0, 'sigma': 0.15}",0.8344,33.33,3.34,24.99,228
stack_5,"{'corrected': 0.66, 'graph': 0.0, 'adaptive_ridge': 0.33, 'visibility': 0.33, 'rich_cluster': 0.0}",0.8936,33.77,3.57,24.84,228
visibility,"{'alpha': 0.5, 'sigma': 0.2}",0.8498,32.89,3.4,24.4,228
stack_5,"{'corrected': 0.33, 'graph': 0.0, 'adaptive_ridge': 0.0, 'visibility': 0.33, 'rich_cluster': 0.0}",0.9145,33.33,3.66,24.19,228
stack_5,"{'corrected': 0.66, 'graph': 0.0, 'adaptive_ridge': 0.66, 'visibility': 0.0, 'rich_cluster': 0.0}",0.8991,32.89,3.6,23.9,228
stack_5,"{'corrected': 1.0, 'graph': 0.0, 'adaptive_ridge': 0.33, 'visibility': 0.0, 'rich_cluster': 0.0}",0.9123,32.46,3.65,23.33,228
stack_5,"{'corrected': 0.0, 'graph': 0.0, 'adaptive_ridge': 0.66, 'visibility': 0.0, 'rich_cluster': 0.0}",0.886,32.02,3.54,23.16,228
stack_3,"{'corrected': 0.2, 'graph': 0.8, 'adaptive_ridge': 0.0}",0.9529,32.46,3.81,22.93,228
stack_5,"{'corrected': 1.0, 'graph': 0.0, 'adaptive_ridge': 0.0, 'visibility': 0.33, 'rich_cluster': 0.0}",0.9101,32.02,3.64,22.92,228
