tree_id,split,selected_method,unstable_gate,total_det,B1_ratio,B2_ratio,B3_ratio,B4_ratio,B4_yrange,d_ac_bvg_B3,d_ac_cag_B2,B1_pred,B2_pred,B3_pred,B4_pred,B1_gt,B2_gt,B3_gt,B4_gt
DAMIMAS_A21B_0603,train,adaptive_corrected,False,18,4.0,3.5,3.0,1.0,0.0,0,0,2,4,3,1,2,4,3,1
DAMIMAS_A21B_0028,train,adaptive_corrected,True,21,0.0,1.0,2.75,3.0,0.1255,0,0,0,1,6,6,0,1,5,6
DAMIMAS_A21B_0271,train,adaptive_corrected,False,22,0.0,3.0,3.3333,3.0,0.054,1,0,0,5,6,2,0,6,6,3
DAMIMAS_A21B_0604,train,adaptive_corrected,False,12,0.0,3.0,2.0,2.0,0.0009,0,-1,0,3,2,1,0,3,2,1
DAMIMAS_A21B_0029,train,adaptive_corrected,False,23,2.0,3.0,3.3333,2.5,0.0566,1,0,1,3,6,3,1,2,5,2
DAMIMAS_A21B_0272,train,adaptive_corrected,False,17,2.0,3.0,3.0,1.5,0.0611,0,0,1,2,5,2,1,1,5,2
DAMIMAS_A21B_0605,train,adaptive_corrected,False,21,1.5,2.0,3.3333,2.0,0.0839,0,0,2,2,6,2,2,2,6,3
DAMIMAS_A21B_0030,train,adaptive_corrected,False,13,0.0,0.0,3.0,2.0,0.1318,0,0,0,0,5,2,0,0,5,3
DAMIMAS_A21B_0273,train,best_visibility_grid,True,16,0.0,2.0,3.5,0.0,0.0,1,0,0,1,7,0,0,1,6,0
DAMIMAS_A21B_0606,train,class_aware_vis,True,22,1.0,2.3333,2.3333,2.3333,0.1148,0,0,1,4,4,4,1,5,4,4
DAMIMAS_A21B_0031,train,adaptive_corrected,False,13,0.0,2.0,2.6667,1.5,0.1765,0,0,0,1,4,2,0,1,4,2
DAMIMAS_A21B_0274,train,adaptive_corrected,False,20,0.0,1.0,3.75,2.0,0.1366,0,0,0,1,8,2,0,1,8,3
