tree_id,split,has_json,n_dets,n_sides,naive_B1,naive_B2,naive_B3,naive_B4,naive_total,corrected_B1,corrected_B2,corrected_B3,corrected_B4,corrected_total,feature_cluster_B1,feature_cluster_B2,feature_cluster_B3,feature_cluster_B4,feature_cluster_total,visibility_B1,visibility_B2,visibility_B3,visibility_B4,visibility_total,learned_graph_B1,learned_graph_B2,learned_graph_B3,learned_graph_B4,learned_graph_total,hungarian_match_B1,hungarian_match_B2,hungarian_match_B3,hungarian_match_B4,hungarian_match_total,cascade_match_B1,cascade_match_B2,cascade_match_B3,cascade_match_B4,cascade_match_total
DAMIMAS_A21B_0289,nonjson,False,14,4,3,3,8,0,14,2,2,4,0,8,2,1,1,0,4,2,2,4,0,8,3,1,1,0,5,3,1,3,0,7,2,1,1,0,4
DAMIMAS_A21B_0290,nonjson,False,14,4,0,0,14,0,14,0,0,8,0,8,0,0,1,0,1,0,0,7,0,7,0,0,1,0,1,0,0,3,0,3,0,0,1,0,1
DAMIMAS_A21B_0291,nonjson,False,22,4,4,10,6,2,22,2,6,3,1,12,3,2,1,1,7,2,5,3,1,11,4,7,3,2,16,4,8,4,2,18,3,3,2,1,9
DAMIMAS_A21B_0292,nonjson,False,21,4,0,9,6,6,21,0,5,3,4,12,0,2,2,1,5,0,5,3,3,11,0,2,3,1,6,0,5,4,2,11,0,2,2,1,5
DAMIMAS_A21B_0293,nonjson,False,18,3,0,5,11,2,18,0,3,6,1,10,0,2,2,2,6,0,3,6,1,10,0,5,3,2,10,0,5,7,2,14,0,2,2,2,6
DAMIMAS_A21B_0294,nonjson,False,23,4,0,5,14,4,23,0,3,8,2,13,0,1,1,1,3,0,3,7,2,12,0,1,1,1,3,0,1,5,2,8,0,1,1,1,3
DAMIMAS_A21B_0295,nonjson,False,17,4,0,12,3,2,17,0,7,2,1,10,0,2,1,1,4,0,6,2,1,9,0,4,1,1,6,0,6,2,1,9,0,2,1,1,4
DAMIMAS_A21B_0296,nonjson,False,12,4,2,5,3,2,12,1,3,2,1,7,2,1,3,2,8,1,3,2,1,7,2,4,3,2,11,2,5,3,2,12,2,3,3,2,10
DAMIMAS_A21B_0297,nonjson,False,17,4,0,1,13,3,17,0,1,7,2,10,0,1,1,1,3,0,1,7,2,10,0,1,1,2,4,0,1,4,2,7,0,1,2,1,4
DAMIMAS_A21B_0298,nonjson,False,22,4,4,0,13,5,22,2,0,7,3,12,1,0,1,1,3,2,0,7,3,12,2,0,1,1,4,2,0,3,3,8,2,0,1,1,4
DAMIMAS_A21B_0299,nonjson,False,18,4,3,10,5,0,18,2,6,3,0,11,2,1,1,0,4,2,5,3,0,10,2,1,1,0,4,2,4,2,0,8,2,2,1,0,5
DAMIMAS_A21B_0300,nonjson,False,13,4,1,4,5,3,13,1,2,3,2,8,1,2,2,2,7,1,2,3,2,8,1,2,2,3,8,1,3,3,3,10,1,2,2,2,7
DAMIMAS_A21B_0301,nonjson,False,20,4,1,5,11,3,20,1,3,6,2,12,1,2,1,1,5,1,3,6,2,12,1,4,1,1,7,1,4,5,2,12,1,2,3,1,7
DAMIMAS_A21B_0302,nonjson,False,15,4,2,2,11,0,15,1,1,6,0,8,1,1,1,0,3,1,1,6,0,8,1,1,2,0,4,1,1,5,0,7,1,1,2,0,4
DAMIMAS_A21B_0303,nonjson,False,21,4,2,15,4,0,21,1,8,2,0,11,1,1,1,0,3,1,8,2,0,11,1,1,1,0,3,1,3,3,0,7,1,1,1,0,3
DAMIMAS_A21B_0304,nonjson,False,18,4,0,6,4,8,18,0,3,2,5,10,0,1,1,1,3,0,3,2,4,9,0,1,1,1,3,0,2,2,2,6,0,2,1,2,5
DAMIMAS_A21B_0305,nonjson,False,25,4,4,5,13,3,25,2,3,7,2,14,1,1,1,1,4,2,3,7,2,14,1,1,1,1,4,2,4,2,1,9,1,2,1,2,6
DAMIMAS_A21B_0306,nonjson,False,9,4,2,2,5,0,9,1,1,3,0,5,1,1,1,0,3,1,1,3,0,5,1,1,1,0,3,1,1,2,0,4,1,1,1,0,3
DAMIMAS_A21B_0307,nonjson,False,14,4,2,9,3,0,14,1,5,2,0,8,1,1,1,0,3,1,5,2,0,8,1,1,1,0,3,1,2,1,0,4,1,1,1,0,3
DAMIMAS_A21B_0308,nonjson,False,15,4,2,3,5,5,15,1,2,3,3,9,1,1,1,1,4,1,2,3,3,9,1,2,1,1,5,1,2,1,2,6,1,1,1,1,4
DAMIMAS_A21B_0309,nonjson,False,18,4,3,3,9,3,18,2,2,5,2,11,1,1,1,1,4,2,2,5,2,11,1,1,1,1,4,1,1,3,1,6,1,1,1,1,4
DAMIMAS_A21B_0310,nonjson,False,20,4,3,0,16,1,20,2,0,9,1,12,1,0,1,1,3,2,0,8,1,11,1,0,1,1,3,1,0,6,1,8,1,0,1,1,3
DAMIMAS_A21B_0311,nonjson,False,9,4,2,7,0,0,9,1,4,0,0,5,1,1,0,0,2,1,4,0,0,5,1,1,0,0,2,1,2,0,0,3,1,1,0,0,2
DAMIMAS_A21B_0312,nonjson,False,18,4,2,7,4,5,18,1,4,2,3,10,1,1,1,1,4,1,4,2,3,10,1,1,1,1,4,1,1,2,2,6,1,1,1,1,4
DAMIMAS_A21B_0313,nonjson,False,23,4,3,4,12,4,23,2,2,7,2,13,1,1,1,1,4,2,2,6,2,12,1,1,1,1,4,2,1,3,1,7,1,1,1,1,4
DAMIMAS_A21B_0314,nonjson,False,22,4,0,4,13,5,22,0,2,7,3,12,0,1,1,1,3,0,2,7,3,12,0,1,1,1,3,0,1,3,2,6,0,1,1,1,3
DAMIMAS_A21B_0315,nonjson,False,23,4,2,11,10,0,23,1,6,6,0,13,1,1,1,0,3,1,6,5,0,12,1,1,1,0,3,1,1,2,0,4,1,1,1,0,3
DAMIMAS_A21B_0316,nonjson,False,24,4,4,6,6,8,24,2,3,3,5,13,1,1,1,1,4,2,3,3,4,12,1,1,1,1,4,2,2,3,3,10,1,1,1,1,4
DAMIMAS_A21B_0317,nonjson,False,14,4,0,4,10,0,14,0,2,6,0,8,0,1,1,0,2,0,2,5,0,7,0,1,1,0,2,0,2,3,0,5,0,1,1,0,2
DAMIMAS_A21B_0318,nonjson,False,21,4,0,0,16,5,21,0,0,9,3,12,0,0,1,1,2,0,0,9,3,12,0,0,1,1,2,0,0,4,2,6,0,0,1,2,3
DAMIMAS_A21B_0319,nonjson,False,15,4,0,9,6,0,15,0,5,3,0,8,0,1,1,0,2,0,5,3,0,8,0,1,1,0,2,0,3,2,0,5,0,1,1,0,2
DAMIMAS_A21B_0320,nonjson,False,23,4,6,6,6,5,23,3,3,3,3,12,1,2,1,2,6,3,3,3,3,12,2,2,3,2,9,3,4,4,3,14,2,2,2,2,8
DAMIMAS_A21B_0321,nonjson,False,21,4,5,4,9,3,21,3,2,5,2,12,1,1,1,1,4,3,2,5,2,12,1,2,1,1,5,2,3,3,2,10,1,1,1,1,4
DAMIMAS_A21B_0323,nonjson,False,13,4,0,11,2,0,13,0,6,1,0,7,0,1,1,0,2,0,6,1,0,7,0,1,1,0,2,0,2,1,0,3,0,1,1,0,2
DAMIMAS_A21B_0324,nonjson,False,14,4,0,7,5,2,14,0,4,3,1,8,0,1,1,1,3,0,4,3,1,8,0,1,1,1,3,0,3,3,1,7,0,1,1,1,3
DAMIMAS_A21B_0325,nonjson,False,17,4,0,6,8,3,17,0,3,4,2,9,0,1,1,1,3,0,3,4,2,9,0,1,1,1,3,0,3,3,1,7,0,1,1,1,3
DAMIMAS_A21B_0326,nonjson,False,10,4,0,0,8,2,10,0,0,4,1,5,0,0,1,1,2,0,0,4,1,5,0,0,1,2,3,0,0,4,2,6,0,0,1,1,2
DAMIMAS_A21B_0327,nonjson,False,11,4,3,4,4,0,11,2,2,2,0,6,1,1,1,0,3,2,2,2,0,6,1,1,3,0,5,1,2,3,0,6,1,1,2,0,4
DAMIMAS_A21B_0328,nonjson,False,14,4,0,5,5,4,14,0,3,3,2,8,0,1,1,1,3,0,3,3,2,8,0,2,3,1,6,0,4,4,1,9,0,1,2,1,4
DAMIMAS_A21B_0329,nonjson,False,6,4,4,1,1,0,6,2,1,1,0,4,2,1,1,0,4,2,1,1,0,4,3,1,1,0,5,4,1,1,0,6,2,1,1,0,4
DAMIMAS_A21B_0330,nonjson,False,21,4,4,2,14,1,21,2,1,8,1,12,1,1,1,1,4,2,1,7,1,11,1,1,1,1,4,2,1,2,1,6,1,1,1,1,4
DAMIMAS_A21B_0331,nonjson,False,17,4,0,13,4,0,17,0,7,2,0,9,0,1,1,0,2,0,7,2,0,9,0,1,1,0,2,0,2,1,0,3,0,1,1,0,2
DAMIMAS_A21B_0332,nonjson,False,11,4,0,0,5,6,11,0,0,3,4,7,0,0,2,2,4,0,0,3,3,6,0,0,3,2,5,0,0,4,3,7,0,0,2,2,4
DAMIMAS_A21B_0333,nonjson,False,8,4,2,1,5,0,8,1,1,3,0,5,1,1,1,0,3,1,1,3,0,5,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3
DAMIMAS_A21B_0334,nonjson,False,21,4,4,0,10,7,21,2,0,6,4,12,1,0,1,1,3,2,0,5,4,11,1,0,3,2,6,1,0,7,4,12,1,0,2,2,5
DAMIMAS_A21B_0335,nonjson,False,13,4,7,6,0,0,13,4,3,0,0,7,1,1,0,0,2,4,3,0,0,7,1,1,0,0,2,2,2,0,0,4,1,1,0,0,2
DAMIMAS_A21B_0336,nonjson,False,22,4,4,2,10,6,22,2,1,6,4,13,1,1,1,1,4,2,1,6,3,12,1,2,1,1,5,1,2,4,2,9,1,1,1,1,4
DAMIMAS_A21B_0337,nonjson,False,16,4,0,1,11,4,16,0,1,6,2,9,0,1,1,1,3,0,1,6,2,9,0,1,1,1,3,0,1,5,1,7,0,1,1,1,3
DAMIMAS_A21B_0338,nonjson,False,18,4,0,0,10,8,18,0,0,6,5,11,0,0,1,1,2,0,0,5,4,9,0,0,1,1,2,0,0,4,4,8,0,0,1,1,2
DAMIMAS_A21B_0339,nonjson,False,13,4,4,6,3,0,13,2,3,2,0,7,1,1,1,0,3,2,3,2,0,7,1,1,1,0,3,1,3,2,0,6,1,1,1,0,3
DAMIMAS_A21B_0340,nonjson,False,9,4,2,2,3,2,9,1,1,2,1,5,1,1,1,1,4,1,1,2,1,5,1,1,1,1,4,1,1,1,1,4,1,1,1,1,4
DAMIMAS_A21B_0341,nonjson,False,20,4,0,5,13,2,20,0,3,7,1,11,0,1,1,1,3,0,3,7,1,11,0,1,1,1,3,0,2,3,1,6,0,1,1,1,3
DAMIMAS_A21B_0342,nonjson,False,28,4,3,3,10,12,28,2,2,6,7,17,1,1,1,1,4,2,2,5,6,15,1,1,1,1,4,2,1,4,2,9,1,1,1,1,4
