tree_id,split,selected_method_v6,selected_method_v9,selector_reason_v9,unstable_gate,total_det,B1_naive,B2_naive,B3_naive,B4_naive,B2_ratio,B3_ratio,B4_ratio,B3_yrange,B4_yrange,pred_B1,pred_B2,pred_B3,pred_B4,gt_B1,gt_B2,gt_B3,gt_B4,ok,error_sum
DAMIMAS_A21B_0044,train,adaptive_corrected,adaptive_corrected,v6_default,False,16,4,2,8,2,2.0,2.6667,2.0,0.0458,0.0068,2,1,4,1,2,1,4,1,True,0
DAMIMAS_A21B_0620,train,adaptive_corrected,adaptive_corrected,v6_default,False,25,4,2,16,3,2.0,3.2,3.0,0.1585,0.0585,2,1,9,2,2,1,9,2,True,0
DAMIMAS_A21B_0045,train,best_visibility_grid,best_visibility_grid,v6_default,True,29,2,0,20,7,0.0,3.3333,2.3333,0.1732,0.0997,1,0,11,4,1,0,10,4,True,1
DAMIMAS_A21B_0621,train,adaptive_corrected,adaptive_corrected,v6_default,False,27,5,6,13,3,3.0,3.25,1.5,0.1492,0.0244,3,4,8,2,3,3,8,2,True,1
DAMIMAS_A21B_0622,train,adaptive_corrected,adaptive_corrected,v6_default,False,24,4,10,6,4,3.3333,3.0,2.0,0.1334,0.1492,2,6,3,3,2,6,3,2,True,1
DAMIMAS_A21B_0623,train,adaptive_corrected,adaptive_corrected,v6_default,False,23,4,9,10,0,3.0,3.3333,0.0,0.1102,0.0,2,5,6,0,2,5,5,0,True,1
DAMIMAS_A21B_0624,train,adaptive_corrected,adaptive_corrected,v6_default,False,23,6,1,12,4,1.0,3.0,2.0,0.1307,0.0469,3,1,7,3,3,1,8,2,True,2
DAMIMAS_A21B_0625,train,best_visibility_grid,best_visibility_grid,v6_default,True,27,0,5,16,6,2.5,3.2,3.0,0.2966,0.2031,0,3,9,3,0,3,9,3,True,0
DAMIMAS_A21B_0626,train,adaptive_corrected,adaptive_corrected,v6_default,False,25,2,8,7,8,4.0,3.5,2.6667,0.1135,0.1205,1,5,4,5,1,4,4,5,True,1
DAMIMAS_A21B_0627,train,best_visibility_grid,best_visibility_grid,v6_default,True,17,3,7,7,0,2.3333,3.5,0.0,0.0847,0.0,2,4,4,0,2,4,4,0,True,0
