tree_id,split,B1_gt,B1_naive,B1_err,B2_gt,B2_naive,B2_err,B3_gt,B3_naive,B3_err,B4_gt,B4_naive,B4_err,total_gt,total_naive,MAE_overall
DAMIMAS_A21B_0791,train,0,0,0,1,2,1,4,7,3,0,0,0,5,9,1.0
DAMIMAS_A21B_0792,train,0,0,0,3,6,3,7,14,7,2,2,0,12,22,2.5
DAMIMAS_A21B_0794,train,0,0,0,2,4,2,9,16,7,0,0,0,11,20,2.25
DAMIMAS_A21B_0795,train,1,2,1,1,2,1,3,4,1,0,0,0,5,8,0.75
DAMIMAS_A21B_0796,train,0,0,0,0,0,0,5,11,6,1,2,1,6,13,1.75
DAMIMAS_A21B_0797,train,1,2,1,4,7,3,2,4,2,0,0,0,7,13,1.5
DAMIMAS_A21B_0798,train,1,2,1,2,5,3,4,7,3,0,0,0,7,14,1.75
DAMIMAS_A21B_0799,train,0,0,0,0,0,0,5,10,5,3,5,2,8,15,1.75
DAMIMAS_A21B_0800,train,0,0,0,2,5,3,5,7,2,3,5,2,10,17,1.75
DAMIMAS_A21B_0801,train,1,2,1,4,8,4,2,4,2,3,7,4,10,21,2.75
DAMIMAS_A21B_0802,train,1,1,0,2,3,1,2,4,2,4,6,2,9,14,1.25
DAMIMAS_A21B_0803,train,1,2,1,1,2,1,8,13,5,4,8,4,14,25,2.75
DAMIMAS_A21B_0804,train,1,2,1,2,4,2,5,9,4,1,2,1,9,17,2.0
DAMIMAS_A21B_0805,train,2,5,3,4,7,3,3,7,4,3,7,4,12,26,3.5
DAMIMAS_A21B_0806,train,1,2,1,0,0,0,5,10,5,1,2,1,7,14,1.75
DAMIMAS_A21B_0807,train,0,0,0,1,2,1,1,2,1,10,16,6,12,20,2.0
DAMIMAS_A21B_0808,train,2,5,3,1,3,2,3,6,3,4,8,4,10,22,3.0
DAMIMAS_A21B_0809,val,2,5,3,2,4,2,6,12,6,2,3,1,12,24,3.0
DAMIMAS_A21B_0546,test,2,4,2,5,11,6,4,7,3,5,8,3,16,30,3.5
DAMIMAS_A21B_0547,test,1,2,1,5,11,6,6,11,5,0,0,0,12,24,3.0
DAMIMAS_A21B_0548,test,1,2,1,3,6,3,4,7,3,3,6,3,11,21,2.5
DAMIMAS_A21B_0549,test,1,2,1,0,0,0,4,8,4,0,0,0,5,10,1.25
DAMIMAS_A21B_0550,test,2,4,2,4,7,3,4,7,3,5,8,3,15,26,2.75
